n"ID";"SoortMisdrijf";"RegioS";"Perioden";"TotaalGeregistreerdeMisdrijven_1";"GeregistreerdeMisdrijvenRelatief_2";"GeregistreerdeMisdrijvenPer1000Inw_3";"TotaalOpgehelderdeMisdrijven_4";"OpgehelderdeMisdrijvenRelatief_5";"RegistratiesVanVerdachten_6"
"410619";"CRI5100";"GM0917";"2023JJ00";"     680";"      11";"     7.8";"      40";"     6.0";"      40"
"417522";"CRI5200";"GM0917";"2010JJ00";"     295";"       3";"     3.3";"     285";"    97.6";"     290"
"417535";"CRI5200";"GM0917";"2023JJ00";"     300";"       5";"     3.4";"     295";"    98.3";"     290"
"424438";"CRI5300";"GM0917";"2010JJ00";"      20";"       0";"       .";"      20";"   100.0";"      20"
"424451";"CRI5300";"GM0917";"2023JJ00";"      85";"       1";"       .";"      85";"   100.0";"      85"
"431354";"CRI5400";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"431367";"CRI5400";"GM0917";"2023JJ00";"       5";"       0";"       .";"       5";"   100.0";"       5"
"438270";"CRI5500";"GM0917";"2010JJ00";"       5";"       0";"       .";"       0";"     0.0";"       0"
"438283";"CRI5500";"GM0917";"2023JJ00";"      10";"       0";"       .";"       5";"    66.7";"       5"
"445186";"CRI5600";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"445199";"CRI5600";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"452102";"CRI5700";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"452115";"CRI5700";"GM0917";"2023JJ00";"      20";"       0";"       .";"      20";"   100.0";"      20"
"459018";"CRI5800";"GM0917";"2010JJ00";"      35";"       0";"       .";"      35";"    91.9";"      40"
"459031";"CRI5800";"GM0917";"2023JJ00";"      15";"       0";"       .";"      15";"    87.5";"      15"
"465934";"CRI6000";"GM0917";"2010JJ00";"     220";"       2";"     2.5";"     220";"    99.1";"     345"
"465947";"CRI6000";"GM0917";"2023JJ00";"     300";"       5";"     3.5";"     215";"    72.1";"     400"
"472850";"CRI6100";"GM0917";"2010JJ00";"      90";"       1";"       .";"      90";"   100.0";"     160"
"472863";"CRI6100";"GM0917";"2023JJ00";"     150";"       2";"     1.7";"     105";"    67.8";"     200"
"479766";"CRI6200";"GM0917";"2010JJ00";"     130";"       1";"     1.5";"     130";"    98.5";"     185"
"479779";"CRI6200";"GM0917";"2023JJ00";"     145";"       2";"     1.7";"     110";"    76.6";"     200"
"486682";"CRI6300";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"486695";"CRI6300";"GM0917";"2023JJ00";"       5";"       0";"       .";"       5";"    75.0";"       5"
"493598";"CRI7000";"GM0917";"2010JJ00";"      65";"       1";"       .";"      60";"    98.4";"      80"
"493611";"CRI7000";"GM0917";"2023JJ00";"     150";"       2";"     1.7";"     135";"    90.0";"     150"
"500514";"CRI9000";"GM0917";"2010JJ00";"      15";"       0";"       .";"      10";"    53.3";"      10"
"500527";"CRI9000";"GM0917";"2023JJ00";"      20";"       0";"       .";"      10";"    47.4";"      10"
"507430";"CRI9100";"GM0917";"2010JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"507443";"CRI9100";"GM0917";"2023JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"514346";"CRI9200";"GM0917";"2010JJ00";"      15";"       0";"       .";"      10";"    53.3";"      10"
"514359";"CRI9200";"GM0917";"2023JJ00";"      20";"       0";"       .";"      10";"    47.4";"      10"
